"week","day","hour","techno","value"
53,4,23,"consommation",1.00987012854723
1,5,1,"consommation",0.927914464118748
1,5,4,"consommation",0.874418918856676
1,5,7,"consommation",1.0262119451153
1,5,11,"consommation",1.06646932656154
1,5,13,"consommation",1.02843386368487
1,5,16,"consommation",1.00926321413602
1,5,18,"consommation",1.10521226599768
1,5,21,"consommation",0.987648331334855
1,5,22,"consommation",1.02282318152577
1,5,23,"consommation",1.00173153659671
1,6,1,"consommation",0.942733057766141
1,6,2,"consommation",0.903003368588282
1,6,3,"consommation",0.875751518806725
1,6,6,"consommation",0.976811285506244
1,6,8,"consommation",1.03274785601859
1,6,11,"consommation",1.06580838763772
1,6,12,"consommation",1.06027366470043
1,6,13,"consommation",1.02588287903973
1,6,18,"consommation",1.09449875700563
1,6,19,"consommation",1.0617601977023
1,6,21,"consommation",0.988184816345744
1,6,23,"consommation",1.00517591680028
1,7,3,"consommation",0.881950624199267
1,7,4,"consommation",0.881769853707952
1,7,5,"consommation",0.904474856240503
1,7,6,"consommation",0.935200119178858
1,7,7,"consommation",0.969952674075619
1,7,8,"consommation",1.00316410332807
1,7,9,"consommation",1.03640642374043
1,7,11,"consommation",1.07217724279713
1,7,12,"consommation",1.0775843398981
1,7,14,"consommation",0.999078461400947
1,7,18,"consommation",1.09679749724399
1,7,19,"consommation",1.06629419301016
1,7,20,"consommation",1.0197732503054
1,7,21,"consommation",0.99771124154575
1,1,1,"consommation",0.981357632240669
1,1,3,"consommation",0.897052450036414
1,1,7,"consommation",0.933992863152949
1,1,10,"consommation",1.02884218217507
1,1,14,"consommation",0.978850219850139
1,1,15,"consommation",0.965233989507388
1,1,16,"consommation",0.993114407534938
1,1,18,"consommation",1.11813366991118
1,2,2,"consommation",0.85101521670728
1,2,4,"consommation",0.844227870083399
1,2,5,"consommation",0.904113570809796
1,2,6,"consommation",0.989295085459734
1,2,10,"consommation",1.06842208562822
1,2,12,"consommation",1.07428369436689
1,2,13,"consommation",1.0474561669096
1,2,14,"consommation",1.01595801399519
1,2,16,"consommation",1.03337299928547
1,2,17,"consommation",1.09939394135307
1,3,0,"consommation",0.91754896678564
1,3,4,"consommation",0.859929896976298
1,3,5,"consommation",0.914198538195158
1,3,8,"consommation",1.04718742638508
1,3,10,"consommation",1.06345449843713
1,3,11,"consommation",1.07473921632685
1,3,19,"consommation",1.06765053962408
1,3,21,"consommation",0.973090177872672
1,3,22,"consommation",0.999971882096342
2,4,1,"consommation",0.900851537792219
2,4,5,"consommation",0.929313232060161
2,4,6,"consommation",1.02369310786194
2,4,8,"consommation",1.08817760790614
2,4,9,"consommation",1.08293532037234
2,4,12,"consommation",1.06466879341789
2,4,13,"consommation",1.04115730747344
2,4,16,"consommation",1.01201884430356
2,4,20,"consommation",0.992438851388116
2,5,1,"consommation",0.900464197506106
2,5,5,"consommation",0.926471555935525
2,5,6,"consommation",1.02683368226453
2,5,8,"consommation",1.08175481764491
2,5,13,"consommation",1.03688803236461
2,5,16,"consommation",1.01887531556705
2,5,19,"consommation",1.05845834699327
2,5,20,"consommation",0.995300147248954
2,5,23,"consommation",0.967308284483518
2,6,0,"consommation",0.914395322011418
2,6,2,"consommation",0.869406814591563
2,6,4,"consommation",0.869204533697822
2,6,7,"consommation",1.09018801854492
2,6,8,"consommation",1.09295105188825
2,6,11,"consommation",1.07787715035245
2,6,13,"consommation",1.03402282925384
2,6,14,"consommation",1.00184073404998
2,6,15,"consommation",0.987507056920099
2,6,16,"consommation",1.00566022131871
2,6,17,"consommation",1.06968521581726
2,6,20,"consommation",0.987857736024096
2,6,22,"consommation",0.989155337041154
2,6,23,"consommation",0.965594471195013
2,7,0,"consommation",0.991538185457301
2,7,1,"consommation",0.972294013873882
2,7,6,"consommation",0.954564271621208
2,7,10,"consommation",1.05638614434838
2,7,12,"consommation",1.06406938080254
2,7,13,"consommation",1.01725310054481
2,7,15,"consommation",0.961033116154356
2,7,16,"consommation",0.979639233499367
2,7,23,"consommation",1.0171268189768
2,1,1,"consommation",0.980753911769827
2,1,4,"consommation",0.88812489420251
4,4,20,"consommation",0.987919440066776
